source,target,url
Elements,Metals and Intermetallic Alloys,http://www.mindat.org/strunz.php?a=1&b=A
Metals and Intermetallic Alloys,Copper-cupalite family,http://www.mindat.org/strunz.php?a=1&b=A&c=A
Copper-cupalite family,Aluminum,http://www.mindat.org/min-107.html
Copper-cupalite family,Copper,http://www.mindat.org/min-1209.html
Copper-cupalite family,Electrum,http://www.mindat.org/min-1365.html
Copper-cupalite family,Gold,http://www.mindat.org/min-1720.html
Copper-cupalite family,Lead,http://www.mindat.org/min-2358.html
Copper-cupalite family,Nickel,http://www.mindat.org/min-2895.html
Copper-cupalite family,Silver,http://www.mindat.org/min-3664.html
Copper-cupalite family,UM204-08-E:AuCuPd,http://www.mindat.org/min-26981.html
Copper-cupalite family,UM1991-06-E:AuCu,http://www.mindat.org/min-26985.html
Copper-cupalite family,Auricupride,http://www.mindat.org/min-423.html
Copper-cupalite family,Tetra-auricupride,http://www.mindat.org/min-3920.html
Copper-cupalite family,Cuproauride,http://www.mindat.org/min-4681.html
Copper-cupalite family,Anyuiite,http://www.mindat.org/min-271.html
Copper-cupalite family,Khatyrkite,http://www.mindat.org/min-2197.html
Copper-cupalite family,Iodine,http://www.mindat.org/min-35534.html
Copper-cupalite family,Novodneprite,http://www.mindat.org/min-27447.html
Copper-cupalite family,UM1985-02-E:AlZn,http://www.mindat.org/min-38720.html
Copper-cupalite family,Cupalite,http://www.mindat.org/min-1171.html
Copper-cupalite family,Hunchunite,http://www.mindat.org/min-1949.html
Metals and Intermetallic Alloys,Zinc-brass family,http://www.mindat.org/strunz.php?a=1&b=A&c=B
Zinc-brass family,Magnesium,http://www.mindat.org/min-45888.html
Zinc-brass family,Cadmium,http://www.mindat.org/min-842.html
Zinc-brass family,Rhenium,http://www.mindat.org/min-3401.html
Zinc-brass family,Zinc,http://www.mindat.org/min-4405.html
Zinc-brass family,Titanium,http://www.mindat.org/min-7339.html
Zinc-brass family,Danbaite,http://www.mindat.org/min-1217.html
Zinc-brass family,Zhanghengite,http://www.mindat.org/min-4398.html
Zinc-brass family,a-Brass,http://www.mindat.org/min-6830.html
Zinc-brass family,Tongxinite,http://www.mindat.org/min-7340.html
Zinc-brass family,Zinccopperite,http://www.mindat.org/min-7980.html
