source,target
Halides,"Simple halides, without H2O"
"Simple halides, without H2O","M:X = 1:1, 2:3, 3:5, etc."
"M:X = 1:1, 2:3, 3:5, etc.",Marshite
"M:X = 1:1, 2:3, 3:5, etc.",Miersite
"M:X = 1:1, 2:3, 3:5, etc.",Nantokite
"M:X = 1:1, 2:3, 3:5, etc.",UM1999-11:I:CuS
"M:X = 1:1, 2:3, 3:5, etc.",Iodargyrite
"M:X = 1:1, 2:3, 3:5, etc.",Tocornalite
"M:X = 1:1, 2:3, 3:5, etc.",Bromargyrite
"M:X = 1:1, 2:3, 3:5, etc.",Chlorargyrite
"M:X = 1:1, 2:3, 3:5, etc.",Carobbiite
"M:X = 1:1, 2:3, 3:5, etc.",Griceite
"M:X = 1:1, 2:3, 3:5, etc.",Halite
"M:X = 1:1, 2:3, 3:5, etc.",Sylvite
"M:X = 1:1, 2:3, 3:5, etc.",Villiaumite
"M:X = 1:1, 2:3, 3:5, etc.",Salammoniac
"M:X = 1:1, 2:3, 3:5, etc.",UM1998-03-Cl:Tl
"M:X = 1:1, 2:3, 3:5, etc.",Lafossaite
"M:X = 1:1, 2:3, 3:5, etc.",Calomel
"M:X = 1:1, 2:3, 3:5, etc.",Kuzminite
"M:X = 1:1, 2:3, 3:5, etc.",Moschelite
"M:X = 1:1, 2:3, 3:5, etc.",Neighborite
"M:X = 1:1, 2:3, 3:5, etc.",Chlorocalcite
"M:X = 1:1, 2:3, 3:5, etc.",Kolarite
"M:X = 1:1, 2:3, 3:5, etc.",Radhakrishnaite
"M:X = 1:1, 2:3, 3:5, etc.",Challacolloite
"M:X = 1:1, 2:3, 3:5, etc.",Hephaistosite
"Simple halides, without H2O",3.AB M:X = 1:2
3.AB M:X = 1:2,Fluorocronite
3.AB M:X = 1:3,PbF
3.AB M:X = 1:4,Tolbachite
3.AB M:X = 1:5,Coccinite
3.AB M:X = 1:6,Sellaite
3.AB M:X = 1:7,Chloromagnesite
3.AB M:X = 1:8,Lawrencite
3.AB M:X = 1:9,Scacchite
3.AB M:X = 1:10,Fluorite
3.AB M:X = 1:11,Frankdicksonite
3.AB M:X = 1:12,Strontiofluorite
3.AB M:X = 1:13,Tveitite-(Y)
3.AB M:X = 1:14,Gagarinite-(Y)
3.AB M:X = 1:15,Gagarinite-(Ce)
3.AB M:X = 1:16,Polezhaevaite-(Ce)
