source,target,url
Oxides,"Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates",http://www.mindat.org/strunz.php?a=4&b=J
"Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates","Arsenites, antimonites, bismuthites; without additional anions, without H2O",http://www.mindat.org/strunz.php?a=4&b=J&c=A
"Arsenites, antimonites, bismuthites; without additional anions, without H2O",Leiteite,http://www.mindat.org/min-2370.html
"Arsenites, antimonites, bismuthites; without additional anions, without H2O",Reinerite,http://www.mindat.org/min-3386.html
"Arsenites, antimonites, bismuthites; without additional anions, without H2O",Karibibite,http://www.mindat.org/min-2159.html
"Arsenites, antimonites, bismuthites; without additional anions, without H2O",Kusachiite,http://www.mindat.org/min-2297.html
"Arsenites, antimonites, bismuthites; without additional anions, without H2O",Schafarzikite,http://www.mindat.org/min-3554.html
"Arsenites, antimonites, bismuthites; without additional anions, without H2O",Trippkeite,http://www.mindat.org/min-4023.html
"Arsenites, antimonites, bismuthites; without additional anions, without H2O",Apuanite,http://www.mindat.org/min-285.html
"Arsenites, antimonites, bismuthites; without additional anions, without H2O",Versiliaite,http://www.mindat.org/min-4173.html
"Arsenites, antimonites, bismuthites; without additional anions, without H2O",Schneiderhohnite,http://www.mindat.org/min-3571.html
"Arsenites, antimonites, bismuthites; without additional anions, without H2O",Zimbabweite,http://www.mindat.org/min-4403.html
"Arsenites, antimonites, bismuthites; without additional anions, without H2O",Ludlockite,http://www.mindat.org/min-2453.html
"Arsenites, antimonites, bismuthites; without additional anions, without H2O",Paulmooreite,http://www.mindat.org/min-3135.html
"Arsenites, antimonites, bismuthites; without additional anions, without H2O",Stibivanite,http://www.mindat.org/min-3781.html
"Arsenites, antimonites, bismuthites; without additional anions, without H2O",Chadwickite,http://www.mindat.org/min-6858.html
"Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates","Arsenites, antimonites, bismuthites; with additional anions, without H2O",http://www.mindat.org/strunz.php?a=4&b=J&c=B
"Arsenites, antimonites, bismuthites; with additional anions, without H2O",Fetiasite,http://www.mindat.org/min-1542.html
"Arsenites, antimonites, bismuthites; with additional anions, without H2O",Manganarsite,http://www.mindat.org/min-2468.html
"Arsenites, antimonites, bismuthites; with additional anions, without H2O",Magnussonite,http://www.mindat.org/min-2543.html
"Arsenites, antimonites, bismuthites; with additional anions, without H2O",UM1984-09-AsO:ClHMn,http://www.mindat.org/min-38780.html
"Arsenites, antimonites, bismuthites; with additional anions, without H2O",Armangite,http://www.mindat.org/min-342.html
"Arsenites, antimonites, bismuthites; with additional anions, without H2O",Nanlingite,http://www.mindat.org/min-2838.html
"Arsenites, antimonites, bismuthites; with additional anions, without H2O",Asbecasite,http://www.mindat.org/min-382.html
"Arsenites, antimonites, bismuthites; with additional anions, without H2O",Stenhuggarite,http://www.mindat.org/min-3761.html
"Arsenites, antimonites, bismuthites; with additional anions, without H2O",Trigonite,http://www.mindat.org/min-4016.html
"Arsenites, antimonites, bismuthites; with additional anions, without H2O",Finnemanite,http://www.mindat.org/min-1551.html
"Arsenites, antimonites, bismuthites; with additional anions, without H2O",Gebhardite,http://www.mindat.org/min-1664.html
"Arsenites, antimonites, bismuthites; with additional anions, without H2O",Derbylite,http://www.mindat.org/min-1263.html
"Arsenites, antimonites, bismuthites; with additional anions, without H2O",Tomichite,http://www.mindat.org/min-3993.html
"Arsenites, antimonites, bismuthites; with additional anions, without H2O",Graeserite,http://www.mindat.org/min-6977.html
"Arsenites, antimonites, bismuthites; with additional anions, without H2O",Hemloite,http://www.mindat.org/min-1861.html
"Arsenites, antimonites, bismuthites; with additional anions, without H2O",Freedite,http://www.mindat.org/min-1604.html
