source,target,url,,
Oxides,Hydroxides (without V or U),http://www.mindat.org/strunz.php?a=4&b=F,,
Hydroxides (without V or U),"Hydroxides with OH, without H2O; corner-sharing tetrahedra",http://www.mindat.org/strunz.php?a=4&b=F&c=A,,
"Hydroxides with OH, without H2O; corner-sharing tetrahedra",Behoite,http://www.mindat.org/min-603.html,,
"Hydroxides with OH, without H2O; corner-sharing tetrahedra",Clinobehoite,http://www.mindat.org/min-1066.html,,
"Hydroxides with OH, without H2O; corner-sharing tetrahedra",Ashoverite,http://www.mindat.org/min-453.html,,
"Hydroxides with OH, without H2O; corner-sharing tetrahedra",Sweetite,http://www.mindat.org/min-3846.html,,
"Hydroxides with OH, without H2O; corner-sharing tetrahedra",Wulfingite,http://www.mindat.org/min-4317.html,,
Hydroxides (without V or U),"Hydroxides with OH, without H2O; insular octahedra",http://www.mindat.org/strunz.php?a=4&b=F&c=B,,
"Hydroxides with OH, without H2O; insular octahedra",Omsite,http://www.mindat.org/min-43284.html,,
"Hydroxides with OH, without H2O; insular octahedra",Shakovite,http://www.mindat.org/min-3630.html,,
"Hydroxides with OH, without H2O; insular octahedra",Cualstibite,http://www.mindat.org/min-1167.html,,
"Hydroxides with OH, without H2O; insular octahedra",Zincalstibite,http://www.mindat.org/min-7055.html,,
Hydroxides (without V or U),"Hydroxides with OH, without H2O; corner-sharing octahedra",http://www.mindat.org/strunz.php?a=4&b=F&c=C,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Bernalite,http://www.mindat.org/min-635.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Dzhalindite,http://www.mindat.org/min-1339.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Sohngeite,http://www.mindat.org/min-3709.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Burtite,http://www.mindat.org/min-808.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Mushistonite,http://www.mindat.org/min-2817.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Natanite,http://www.mindat.org/min-2847.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Schoenfliesite,http://www.mindat.org/min-3573.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Vismirnovite,http://www.mindat.org/min-4191.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Wickmanite,http://www.mindat.org/min-4283.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Jeanbandyite,http://www.mindat.org/min-2084.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Mopungite,http://www.mindat.org/min-2777.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Stottite,http://www.mindat.org/min-3795.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Tetrawickmanite,http://www.mindat.org/min-3928.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Ferronigerite-2N1S,http://www.mindat.org/min-2903.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Magnesionigerite-6N6S,http://www.mindat.org/min-11445.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Magnesionigerite-2N1S,http://www.mindat.org/min-11446.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Ferronigerite-6N6S,http://www.mindat.org/min-11451.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Zinconigerite-2N1S,http://www.mindat.org/min-11453.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Zinconigerite-6N6S,http://www.mindat.org/min-11454.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Magnesiotaaffeite-6N3S,http://www.mindat.org/min-2816.html,,
"Hydroxides with OH, without H2O; corner-sharing octahedra",Magnesiotaaffeite-2N2S,http://www.mindat.org/min-3863.html,,
