source,target,url
Sulfides and Sulfosalts,"Sulfarsenites, sulfantimonites, sulfbismuthites	",http://www.mindat.org/strunz.php?a=2&b=G
"Sulfarsenites, sulfantimonites, sulfbismuthites	","Neso-sulfarsenites	 etc. without additional S",http://www.mindat.org/strunz.php?a=2&b=G&c=A
"Neso-sulfarsenites, etc. without additional S		",Proustite,http://www.mindat.org/min-3294.html
"Neso-sulfarsenites, etc. without additional S",Pyrargyrite,http://www.mindat.org/min-3313.html
"Neso-sulfarsenites, etc. without additional S	",Pyrostilpnite,http://www.mindat.org/min-3325.html
"Neso-sulfarsenites, etc. without additional S",Xanthoconite,http://www.mindat.org/min-4330.html
"Neso-sulfarsenites, etc. without additional S",Samsonite,http://www.mindat.org/min-3516.html
"Neso-sulfarsenites, etc. without additional S",Skinnerite,http://www.mindat.org/min-3679.html
"Neso-sulfarsenites, etc. without additional S",Wittichenite,http://www.mindat.org/min-4300.html
"Neso-sulfarsenites, etc. without additional S",Lapieite,http://www.mindat.org/min-2329.html
"Neso-sulfarsenites, etc. without additional S",Muckeite,http://www.mindat.org/min-2803.html
"Neso-sulfarsenites, etc. without additional S",Malyshevite,http://www.mindat.org/min-29140.html
"Neso-sulfarsenites, etc. without additional S",Lisiguangite,http://www.mindat.org/min-31586.html
"Neso-sulfarsenites, etc. without additional S",Aktashite,http://www.mindat.org/min-74.html
"Neso-sulfarsenites, etc. without additional S",Gruzdevite,http://www.mindat.org/min-1759.html
"Neso-sulfarsenites, etc. without additional S",Nowackiite,http://www.mindat.org/min-2939.html
"Neso-sulfarsenites, etc. without additional S",Laffittite,http://www.mindat.org/min-2311.html
"Neso-sulfarsenites, etc. without additional S",Routhierite,http://www.mindat.org/min-3464.html
"Neso-sulfarsenites, etc. without additional S",Stalderite,http://www.mindat.org/min-3744.html
"Neso-sulfarsenites, etc. without additional S",Erniggliite,http://www.mindat.org/min-1403.html
"Neso-sulfarsenites, etc. without additional S",Bournonite,http://www.mindat.org/min-741.html
"Neso-sulfarsenites, etc. without additional S",Seligmannite,http://www.mindat.org/min-3613.html
"Neso-sulfarsenites, etc. without additional S",Soucekite,http://www.mindat.org/min-3718.html 
